table_name,table_schema,table_size,indexes_size,total_size
"cityjsondb"."surfaces",cityjsondb,26 MB,1976 kB,28 MB
"cityjsondb"."semantic_surface",cityjsondb,7640 kB,1152 kB,8792 kB
"public"."spatial_ref_sys",public,6968 kB,304 kB,7272 kB
"cityjsondb"."city_object",cityjsondb,3144 kB,272 kB,3416 kB
"pg_catalog"."pg_depend",pg_catalog,688 kB,896 kB,1584 kB
"pg_catalog"."pg_shdepend",pg_catalog,440 kB,1032 kB,1472 kB
"pg_catalog"."pg_proc",pg_catalog,888 kB,400 kB,1288 kB
"cityjsondb"."geometries",cityjsondb,752 kB,144 kB,896 kB
"pg_catalog"."pg_attribute",pg_catalog,496 kB,216 kB,712 kB
"pg_catalog"."pg_rewrite",pg_catalog,656 kB,32 kB,688 kB
"pg_catalog"."pg_statistic",pg_catalog,584 kB,40 kB,624 kB
"pg_catalog"."pg_description",pg_catalog,408 kB,200 kB,608 kB
"pg_catalog"."pg_collation",pg_catalog,296 kB,120 kB,416 kB
"pg_catalog"."pg_class",pg_catalog,136 kB,120 kB,256 kB
"pg_catalog"."pg_operator",pg_catalog,160 kB,80 kB,240 kB
"pg_catalog"."pg_type",pg_catalog,128 kB,72 kB,200 kB
"pg_catalog"."pg_amop",pg_catalog,80 kB,120 kB,200 kB
"pg_catalog"."pg_constraint",pg_catalog,48 kB,80 kB,128 kB
"pg_catalog"."pg_amproc",pg_catalog,64 kB,64 kB,128 kB
"information_schema"."sql_features",information_schema,104 kB,0 bytes,104 kB
"pg_catalog"."pg_conversion",pg_catalog,56 kB,48 kB,104 kB
"pg_catalog"."pg_index",pg_catalog,64 kB,32 kB,96 kB
"pg_catalog"."pg_extension",pg_catalog,64 kB,32 kB,96 kB
"pg_catalog"."pg_opclass",pg_catalog,56 kB,32 kB,88 kB
"pg_catalog"."pg_ts_config_map",pg_catalog,56 kB,32 kB,88 kB
"pg_catalog"."pg_opfamily",pg_catalog,48 kB,32 kB,80 kB
"pg_catalog"."pg_database",pg_catalog,48 kB,32 kB,80 kB
"pg_catalog"."pg_namespace",pg_catalog,48 kB,32 kB,80 kB
"pg_catalog"."pg_language",pg_catalog,48 kB,32 kB,80 kB
"pg_catalog"."pg_tablespace",pg_catalog,48 kB,32 kB,80 kB
"pg_catalog"."pg_ts_dict",pg_catalog,48 kB,32 kB,80 kB
"pg_catalog"."pg_cast",pg_catalog,48 kB,32 kB,80 kB
"pg_catalog"."pg_authid",pg_catalog,48 kB,32 kB,80 kB
"pg_catalog"."pg_ts_config",pg_catalog,40 kB,32 kB,72 kB
"pg_catalog"."pg_auth_members",pg_catalog,40 kB,32 kB,72 kB
