timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600430734780,55,Query 1 PostgreSQL,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,49,0,31
1600430734841,9,Query 1 PostgreSQL,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,9,0,2
1600430734850,12,Query 1 PostgreSQL,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,11,0,2
1600430734864,10,Query 1 PostgreSQL,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,10,0,2
1600430734875,14,Query 1 PostgreSQL,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,14,0,3
1600430734890,15,Query 1 PostgreSQL,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,15,0,7
1600430734906,12,Query 1 PostgreSQL,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,12,0,1
1600430734919,12,Query 1 PostgreSQL,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,12,0,1
1600430734934,10,Query 1 PostgreSQL,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,10,0,2
1600430734946,14,Query 1 PostgreSQL,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,14,0,3
1600430734960,9,Query 1 PostgreSQL,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,9,0,1
1600430734970,11,Query 1 PostgreSQL,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,10,0,1
1600430734981,9,Query 1 PostgreSQL,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,8,0,1
1600430734990,9,Query 1 PostgreSQL,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,9,0,1
1600430735000,6,Query 1 PostgreSQL,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,6,0,1
1600430735007,10,Query 1 PostgreSQL,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,10,0,0
1600430735018,8,Query 1 PostgreSQL,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,7,0,1
1600430735026,7,Query 1 PostgreSQL,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,7,0,1
1600430735034,7,Query 1 PostgreSQL,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,7,0,1
1600430735042,10,Query 1 PostgreSQL,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,10,0,4
1600430735053,7,Query 1 PostgreSQL,200,OK,Groep 1 1-1,text,true,,225,277,1,1,http://localhost:5000/graphql,7,0,1
