timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600430118756,57,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,1288,256,1,1,http://localhost:5000/graphql,49,0,26
1600430118816,196,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,196,0,1
1600430119013,25,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,25,0,0
1600430119039,35,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,35,0,0
1600430119075,50,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,50,0,1
1600430119126,56,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,56,0,1
1600430119183,55,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,55,0,1
1600430119239,50,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,50,0,1
1600430119290,36,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,36,0,1
1600430119327,24,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,24,0,1
1600430119352,32,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,32,0,1
1600430119385,27,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,27,0,0
1600430119413,75,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,74,0,0
1600430119488,40,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,40,0,1
1600430119529,37,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,37,0,1
1600430119567,40,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,40,0,1
1600430119607,41,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,41,0,1
1600430119649,44,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,44,0,1
1600430119694,41,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,41,0,1
1600430119758,34,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,33,0,1
1600430119792,63,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,62,0,1
1600430119857,64,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,64,0,1
1600430119923,64,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,63,0,1
1600430119987,87,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,87,0,1
1600430120106,37,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,37,0,1
1600430120144,47,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,47,0,1
1600430120192,38,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,38,0,1
1600430120231,54,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,54,0,1
1600430120285,44,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,44,0,1
1600430120330,25,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,25,0,1
1600430120357,27,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,27,0,2
1600430120385,25,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,25,0,0
1600430120411,47,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,47,0,1
1600430120466,38,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,37,0,1
1600430120504,70,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,70,0,1
1600430120575,35,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,34,0,0
1600430120611,48,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,48,0,3
1600430120659,46,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,46,0,1
1600430120706,36,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,36,0,1
1600430120743,33,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,33,0,1
1600430120777,37,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,36,0,0
1600430120814,30,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,30,0,1
1600430120845,35,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,35,0,1
1600430120881,31,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,31,0,1
1600430120913,38,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,38,0,0
1600430120972,32,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,32,0,1
1600430121005,32,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,32,0,1
1600430121037,35,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,35,0,1
1600430121073,33,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,33,0,1
1600430121106,36,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,36,0,2
1600430121143,45,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,45,0,1
1600430121188,26,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,26,0,1
1600430121215,24,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,24,0,1
1600430121240,37,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,37,0,0
1600430121278,22,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,22,0,1
1600430121300,32,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,32,0,1
1600430121332,37,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,36,0,1
1600430121369,52,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,52,0,1
1600430121421,32,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,32,0,1
1600430121481,52,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,52,0,1
1600430121534,41,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,41,0,1
1600430121575,44,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,44,0,1
1600430121620,37,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,37,0,1
1600430121657,34,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,34,0,1
1600430121693,38,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,38,0,1
1600430121732,36,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,36,0,1
1600430121769,36,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,35,0,1
1600430121805,34,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,34,0,1
1600430121839,32,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,32,0,1
1600430121872,32,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,32,0,1
1600430121904,31,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,31,0,1
1600430121981,22,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,22,0,0
1600430122004,32,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,31,0,0
1600430122036,37,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,37,0,1
1600430122074,27,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,27,0,0
1600430122103,26,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,26,0,0
1600430122129,23,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,23,0,1
1600430122153,41,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,41,0,1
1600430122194,35,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,34,0,1
1600430122229,28,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,28,0,1
1600430122258,39,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,39,0,0
1600430122298,54,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,54,0,1
1600430122353,51,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,51,0,1
1600430122405,50,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,50,0,1
1600430122491,35,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,35,0,0
1600430122527,44,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,44,0,1
1600430122572,43,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,43,0,0
1600430122616,61,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,61,0,0
1600430122677,41,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,41,0,1
1600430122719,37,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,36,0,1
1600430122756,32,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,32,0,1
1600430122789,32,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,32,0,1
1600430122822,32,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,32,0,1
1600430122855,33,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,33,0,1
1600430122889,33,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,33,0,1
1600430122923,63,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,63,0,0
