timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600426977721,47,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,1288,256,1,1,http://localhost:5000/graphql,40,0,19
1600426977771,210,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,210,0,5
1600426977982,66,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,66,0,1
1600426978049,64,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,63,0,0
1600426978113,92,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,92,0,2
1600426978206,88,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,88,0,1
1600426978295,65,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,65,0,1
1600426978360,89,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,89,0,1
1600426978450,101,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,101,0,1
1600426978552,86,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,85,0,0
1600426978638,80,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,80,0,1
1600426978719,83,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,83,0,2
1600426978803,78,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,77,0,1
1600426978881,93,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,92,0,2
1600426978974,92,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,92,0,1
1600426979066,93,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,93,0,2
1600426979159,71,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,70,0,1
1600426979230,74,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,74,0,1
1600426979304,82,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,82,0,1
1600426979386,129,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,128,0,1
1600426979517,125,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,125,0,2
1600426979643,100,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,100,0,1
1600426979743,97,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,97,0,1
1600426979840,110,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,110,0,1
1600426979951,116,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,116,0,1
1600426980068,86,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,86,0,1
1600426980155,73,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,73,0,0
1600426980228,80,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,80,0,1
1600426980309,93,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,93,0,0
1600426980403,187,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,187,0,0
1600426980591,86,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,86,0,1
1600426980678,69,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,69,0,0
1600426980748,82,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,82,0,0
1600426980830,111,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,111,0,1
1600426980941,94,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,93,0,6
1600426981062,70,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,70,0,1
1600426981133,82,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,82,0,0
1600426981215,81,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,81,0,1
1600426981297,91,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,91,0,2
1600426981388,141,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,141,0,1
1600426981530,102,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,101,0,1
1600426981632,84,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,84,0,1
1600426981717,71,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,71,0,1
1600426981789,77,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,77,0,0
1600426981867,70,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,69,0,0
1600426981942,81,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,81,0,2
1600426982023,68,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,68,0,1
1600426982092,72,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,72,0,0
1600426982165,60,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,60,0,0
1600426982226,61,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,61,0,0
1600426982288,63,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,63,0,0
1600426982351,60,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,60,0,1
1600426982411,114,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,114,0,1
1600426982525,79,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,79,0,4
1600426982604,92,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,92,0,1
1600426982696,71,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,71,0,2
1600426982768,67,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,67,0,1
1600426982835,64,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,63,0,1
1600426982899,71,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,71,0,1
1600426982970,63,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,63,0,1
1600426983033,62,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,62,0,1
1600426983095,66,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,65,0,1
1600426983161,62,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,62,0,1
1600426983223,61,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,61,0,1
1600426983285,62,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,62,0,1
1600426983347,62,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,62,0,1
1600426983409,77,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,77,0,1
1600426983487,104,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,103,0,2
1600426983591,71,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,71,0,1
1600426983662,64,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,64,0,1
1600426983726,63,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,63,0,1
1600426983789,66,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,66,0,1
1600426983855,61,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,61,0,1
1600426983950,56,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,56,0,0
1600426984007,62,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,62,0,0
1600426984070,64,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,64,0,0
1600426984135,63,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,63,0,0
1600426984198,62,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,2864,256,1,1,http://localhost:5000/graphql,62,0,1
