timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603449690013,1982,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1982,0,4
1603449691996,1464,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1464,0,1
1603449693460,1449,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1449,0,1
1603449694910,1463,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1463,0,0
1603449696373,2090,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,2090,0,1
1603449698463,1479,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1479,0,1
1603449699943,1468,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1467,0,0
1603449701412,1456,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1456,0,0
1603449702868,1442,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1442,0,0
1603449704310,1434,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1434,0,1
1603449705744,1442,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1442,0,0
1603449707186,1483,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1483,0,1
1603449708670,1430,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1430,0,0
1603449710101,1411,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1411,0,0
1603449711512,1441,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1441,0,1
1603449712953,1428,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1428,0,0
1603449714381,1487,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1487,0,1
1603449715868,1468,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1468,0,1
1603449717336,1421,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1421,0,1
1603449718757,1462,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1462,0,1
1603449720221,1415,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1414,0,1
1603449721636,1429,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1429,0,0
1603449723065,1425,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1425,0,1
1603449724490,1472,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1472,0,0
1603449725961,1424,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1423,0,1
1603449727385,1440,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1440,0,0
1603449728826,1442,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1442,0,0
1603449730269,1458,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1458,0,1
1603449731727,1471,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1471,0,0
1603449733198,1433,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1433,0,1
1603449734631,1436,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1436,0,1
1603449736068,1434,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1434,0,0
1603449737503,1424,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1424,0,0
1603449738928,1433,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1433,0,1
1603449740362,1445,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1445,0,0
1603449741807,1466,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1466,0,1
1603449743274,1478,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1478,0,0
1603449744752,1514,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1514,0,1
1603449746265,1451,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1451,0,1
1603449747717,1457,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1457,0,0
1603449749174,1471,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1471,0,1
1603449750646,1493,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1493,0,1
1603449752139,1414,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1414,0,1
1603449753553,1422,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1422,0,1
1603449754976,1430,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1430,0,0
1603449756407,1417,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1417,0,0
1603449757824,1451,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1451,0,1
1603449759275,1445,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1445,0,1
1603449760719,1434,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1434,0,0
1603449762153,1420,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1420,0,1
1603449763574,1459,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1458,0,0
1603449765033,1440,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1440,0,0
1603449766474,1437,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1437,0,1
1603449767912,1465,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1465,0,0
1603449769378,1426,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1426,0,0
1603449770803,1474,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1474,0,1
1603449772277,1420,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1419,0,0
1603449773697,1430,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1430,0,0
1603449775127,1452,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1452,0,1
1603449776580,1419,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1419,0,0
1603449778000,1454,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1454,0,0
1603449779454,1471,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1471,0,1
1603449780926,1497,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1497,0,2
1603449782423,1483,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1483,0,1
1603449783906,1449,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1449,0,1
1603449785356,1441,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1441,0,1
1603449786797,1460,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1460,0,1
1603449788257,1432,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1432,0,1
1603449789689,1446,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1446,0,1
1603449791134,1442,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1441,0,0
1603449792576,1412,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1412,0,0
1603449793988,1448,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1448,0,0
1603449795437,1443,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1443,0,1
1603449796881,1441,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1441,0,0
1603449798322,1431,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1431,0,1
1603449799753,1454,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1454,0,1
1603449801207,1443,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1443,0,0
1603449802651,1443,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1443,0,0
1603449804094,1448,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1448,0,0
1603449805542,1441,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1440,0,1
1603449806983,1466,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1466,0,0
1603449808449,1442,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1442,0,1
1603449809891,1441,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1440,0,1
1603449811333,1509,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1509,0,3
1603449812843,1443,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1443,0,0
1603449814286,1434,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1434,0,1
1603449815720,1419,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1419,0,1
1603449817140,1590,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1590,0,1
1603449818730,1467,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1467,0,1
1603449820197,1462,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1462,0,1
1603449821659,1435,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1435,0,1
1603449823094,1458,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1458,0,0
1603449824552,1427,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1427,0,0
1603449825980,1471,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1471,0,0
1603449827451,1451,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19756,251,1,1,http://localhost:5000/graphql,1451,0,1
