timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603449506998,841,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19761,256,1,1,http://localhost:5000/graphql,841,0,3
1603449507839,813,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19761,256,1,1,http://localhost:5000/graphql,813,0,1
1603449508653,788,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19761,256,1,1,http://localhost:5000/graphql,787,0,0
1603449509441,812,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19761,256,1,1,http://localhost:5000/graphql,812,0,0
1603449510253,743,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19761,256,1,1,http://localhost:5000/graphql,743,0,0
1603449510997,880,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19761,256,1,1,http://localhost:5000/graphql,880,0,0
1603449511878,895,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19761,256,1,1,http://localhost:5000/graphql,895,0,1
1603449512773,844,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19761,256,1,1,http://localhost:5000/graphql,844,0,1
1603449513617,813,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19761,256,1,1,http://localhost:5000/graphql,813,0,1
1603449514431,778,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19761,256,1,1,http://localhost:5000/graphql,778,0,0
1603449515209,765,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19761,256,1,1,http://localhost:5000/graphql,765,0,1
1603449515974,702,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19761,256,1,1,http://localhost:5000/graphql,702,0,1
1603449516677,719,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19761,256,1,1,http://localhost:5000/graphql,719,0,0
1603449517397,723,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19761,256,1,1,http://localhost:5000/graphql,723,0,0
1603449518120,719,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19761,256,1,1,http://localhost:5000/graphql,719,0,1
1603449518840,692,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19761,256,1,1,http://localhost:5000/graphql,692,0,0
1603449519533,711,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19761,256,1,1,http://localhost:5000/graphql,711,0,0
1603449520245,716,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19761,256,1,1,http://localhost:5000/graphql,716,0,0
1603449520961,688,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19761,256,1,1,http://localhost:5000/graphql,688,0,1
1603449521650,709,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19761,256,1,1,http://localhost:5000/graphql,709,0,1
1603449522359,712,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19761,256,1,1,http://localhost:5000/graphql,712,0,1
1603449523071,740,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19761,256,1,1,http://localhost:5000/graphql,739,0,1
1603449523811,710,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19761,256,1,1,http://localhost:5000/graphql,710,0,1
1603449524521,721,query3 PostgreSQL,200,OK,Groep 1 1-1,text,true,,19761,256,1,1,http://localhost:5000/graphql,721,0,1
