timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600380023811,91,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,1208,253,1,1,http://localhost:5000/graphql,79,0,50
1600380023909,159,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,159,0,2
1600380024076,18,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,18,0,2
1600380024095,12,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,12,0,2
1600380024108,15,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,15,0,1
1600380024124,20,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,20,0,1
1600380024145,12,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,12,0,0
1600380024158,15,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,15,0,1
1600380024174,10,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,8,0,1
1600380024184,20,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,20,0,1
1600380024206,19,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,19,0,1
1600380024226,22,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,22,0,2
1600380024249,23,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,22,0,3
1600380024273,14,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,14,0,2
1600380024287,20,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,20,0,1
1600380024309,16,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,16,0,1
1600380024326,18,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,18,0,2
1600380024345,26,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,26,0,2
1600380024372,17,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,16,0,4
1600380024389,14,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,14,0,1
1600380024404,16,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,16,0,0
1600380024421,14,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,14,0,1
1600380024436,14,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,14,0,1
1600380024451,22,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,22,0,1
1600380024474,15,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,15,0,1
1600380024490,15,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,15,0,1
