timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600427365568,66,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,1208,253,1,1,http://localhost:5000/graphql,51,0,21
1600427365667,151,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,151,0,3
1600427365819,19,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,19,0,1
1600427365839,16,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,16,0,1
1600427365856,30,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,29,0,2
1600427365886,34,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,34,0,1
1600427365921,18,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,18,0,2
1600427365939,19,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,19,0,1
1600427365958,22,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,22,0,3
1600427365981,24,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,24,0,0
1600427366007,21,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,21,0,4
1600427366028,20,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,20,0,2
1600427366049,19,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,19,0,1
1600427366068,31,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,31,0,1
1600427366100,25,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,25,0,1
1600427366126,27,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,27,0,1
1600427366154,17,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,16,0,0
1600427366172,18,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,18,0,1
1600427366191,25,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,25,0,1
1600427366217,24,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,24,0,1
1600427366249,17,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,17,0,1
1600427366266,26,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,26,0,1
1600427366292,20,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,20,0,1
1600427366312,27,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,27,0,2
1600427366339,29,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,29,0,1
1600427366369,20,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,19,0,1
1600427366389,17,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,17,0,1
1600427366407,27,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,26,0,1
1600427366436,20,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,20,0,1
1600427366456,27,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,27,0,1
1600427366535,20,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,20,0,1
1600427366556,18,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,18,0,1
1600427366575,14,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,14,0,0
1600427366591,17,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,17,0,2
1600427366609,23,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,22,0,1
1600427366632,20,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,19,0,1
1600427366652,21,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,21,0,1
1600427366674,22,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,22,0,1
1600427366697,26,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,26,0,2
1600427366724,18,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,18,0,1
1600427366743,25,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,25,0,1
1600427366769,20,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,253,1,1,http://localhost:5000/graphql,19,0,1
