timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1599152414581,54,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,864,272,1,1,http://localhost:5000/graphql,47,0,18
1599152414639,243,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,243,0,1
1599152414883,13,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,13,0,2
1599152414896,17,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,17,0,2
1599152414914,14,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,14,0,1
1599152414929,18,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,18,0,1
1599152414949,18,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,18,0,1
1599152414968,18,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,18,0,2
1599152414987,15,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,15,0,1
1599152415003,18,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,17,0,1
1599152415022,15,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,15,0,1
1599152415038,19,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,18,0,1
1599152415058,17,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,17,0,2
1599152415076,17,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,17,0,1
1599152415094,20,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,20,0,1
1599152415138,16,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,16,0,1
1599152415155,18,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,18,0,1
1599152415174,18,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,17,0,2
1599152415192,18,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,18,0,1
1599152415210,14,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,14,0,1
1599152415225,13,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,13,0,1
1599152415238,18,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,18,0,1
1599152415257,14,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,13,0,0
1599152415271,21,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,21,0,1
1599152415293,20,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,20,0,1
1599152415313,20,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,19,0,1
1599152415333,20,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,20,0,1
1599152415355,15,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,14,0,0
1599152415372,21,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,21,0,1
1599152415394,18,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,18,0,1
1599152415413,17,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,17,0,0
1599152415431,15,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,15,0,0
1599152415447,20,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,20,0,1
1599152415468,17,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,17,0,1
1599152415485,17,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,17,0,1
1599152415503,17,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,16,0,2
1599152415520,19,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,19,0,1
1599152415539,17,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,17,0,2
1599152415557,12,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,12,0,1
1599152415596,21,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,21,0,2
1599152415618,15,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,15,0,1
1599152415634,19,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,19,0,1
1599152415654,18,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,18,0,1
1599152415673,15,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,15,0,0
1599152415689,13,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,13,0,1
1599152415702,12,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,12,0,1
1599152415715,16,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,16,0,1
1599152415731,16,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,16,0,1
1599152415748,12,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,12,0,1
1599152415761,19,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,19,0,1
1599152415780,19,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,19,0,2
1599152415800,17,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,17,0,0
1599152415817,14,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,14,0,1
1599152415832,14,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,14,0,1
1599152415847,16,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,16,0,1
1599152415864,17,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,17,0,1
1599152415882,15,query5 PostgreSQL,200,OK,Groep 1 1-1,text,true,,193,272,1,1,http://localhost:5000/graphql,15,0,1
