timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600001776702,61,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,40,0,17
1600001776768,17,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,17,0,2
1600001776786,32,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,22,0,1
1600001776819,35,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,35,0,1
1600001776855,23,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,22,0,1
1600001776879,13,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,13,0,1
1600001776940,14,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,14,0,2
1600001776955,10,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,10,0,1
1600001776965,18,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,18,0,2
1600001776984,15,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,15,0,2
1600001777000,15,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,15,0,3
1600001777016,14,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,14,0,2
1600001777031,13,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,13,0,1
1600001777045,15,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,15,0,1
1600001777061,11,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,11,0,1
1600001777073,15,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,15,0,2
1600001777089,17,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,17,0,1
1600001777108,15,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,15,0,1
1600001777124,15,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,15,0,1
1600001777140,15,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,15,0,2
1600001777156,15,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,15,0,3
1600001777172,13,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,13,0,1
1600001777186,14,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,14,0,1
1600001777201,16,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,16,0,1
1600001777218,12,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,12,0,1
1600001777230,12,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,12,0,1
1600001777242,13,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,13,0,1
1600001777256,12,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,11,0,2
1600001777269,12,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,12,0,1
1600001777281,14,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,14,0,1
1600001777296,14,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,14,0,1
1600001777311,21,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,20,0,1
1600001777333,7,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,7,0,0
1600001777340,15,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,15,0,1
1600001777356,13,query5 MongoDB,200,OK,Groep 1 1-1,text,true,,199,250,1,1,http://localhost:5000/graphql,13,0,0
