timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600001982513,61,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,51,0,24
1600001982591,10,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,10,0,1
1600001982603,17,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,16,0,2
1600001982620,13,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,13,0,2
1600001982634,14,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,14,0,1
1600001982649,9,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,9,0,1
1600001982658,12,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,12,0,1
1600001982671,13,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,13,0,3
1600001982685,10,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,10,0,1
1600001982696,10,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,10,0,1
1600001982707,11,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,11,0,2
1600001982718,10,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,10,0,1
1600001982729,10,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,10,0,1
1600001982740,9,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,9,0,1
1600001982750,12,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,12,0,0
1600001982763,9,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,9,0,1
1600001982774,15,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,14,0,1
1600001982790,9,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,9,0,1
1600001982800,12,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,12,0,1
1600001982812,14,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,14,0,1
1600001982828,12,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,11,0,1
1600001982841,15,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,15,0,1
1600001982857,14,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,13,0,2
1600001982871,14,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,14,0,1
1600001982886,16,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,16,0,2
1600001982903,15,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,15,0,2
1600001982919,12,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,12,0,1
1600001982932,12,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,12,0,1
1600001982945,11,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,11,0,2
1600001982962,10,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,10,0,1
1600001982972,9,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,9,0,2
1600001982982,7,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,7,0,1
1600001982990,9,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,9,0,1
1600001983000,11,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,11,0,1
1600001983013,14,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,14,0,4
1600001983028,11,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,10,0,1
1600001983039,13,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,13,0,1
1600001983053,10,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,10,0,1
1600001983064,13,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,13,0,2
1600001983077,11,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,11,0,1
1600001983088,11,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,11,0,1
1600001983100,13,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,13,0,4
1600001983114,9,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,9,0,1
1600001983123,15,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,15,0,1
1600001983139,8,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,8,0,1
1600001983148,9,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,9,0,0
1600001983158,12,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,12,0,1
1600001983171,17,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,16,0,1
1600001983188,12,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,12,0,3
1600001983200,11,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,11,0,1
1600001983213,10,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,10,0,2
1600001983223,10,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,10,0,2
1600001983233,12,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,12,0,2
1600001983246,13,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,13,0,3
1600001983260,9,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,9,0,1
1600001983270,11,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,11,0,1
1600001983282,11,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,10,0,1
1600001983293,9,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,9,0,1
1600001983303,10,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,10,0,1
1600001983313,10,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,10,0,1
1600001983323,8,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,8,0,2
1600001983331,10,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,10,0,2
1600001983342,9,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,9,0,1
1600001983352,9,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,8,0,1
1600001983361,10,query6A MongoDB,200,OK,Groep 1 1-1,text,true,,220,250,1,1,http://localhost:5000/graphql,9,0,2
