timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1599151709453,47,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,861,249,1,1,http://localhost:5000/graphql,42,0,30
1599151709505,129,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,129,0,1
1599151709634,9,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,8,0,1
1599151709644,14,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,14,0,1
1599151709659,9,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,9,0,1
1599151709669,12,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,12,0,1
1599151709682,13,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,12,0,3
1599151709695,12,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,12,0,2
1599151709708,17,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,17,0,2
1599151709726,17,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,17,0,4
1599151709744,16,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,16,0,8
1599151709767,9,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,9,0,2
1599151709777,18,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,18,0,8
1599151709796,8,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,8,0,2
1599151709804,25,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,25,0,1
1599151709829,15,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,14,0,1
1599151709844,13,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,13,0,2
1599151709858,12,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,11,0,1
1599151709870,11,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,11,0,5
1599151709882,8,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,8,0,1
1599151709891,16,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,16,0,1
1599151709908,12,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,10,0,1
1599151709920,14,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,14,0,1
1599151709935,11,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,11,0,1
1599151709947,18,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,17,0,1
1599151709967,11,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,11,0,2
1599151709978,12,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,12,0,2
1599151709991,10,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,10,0,0
1599151710003,10,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,10,0,3
1599151710015,13,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,13,0,2
1599151710030,8,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,8,0,1
1599151710039,7,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,7,0,0
1599151710047,15,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,15,0,2
1599151710062,8,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,7,0,1
1599151710070,7,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,7,0,0
1599151710079,14,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,14,0,3
1599151710094,16,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,15,0,3
1599151710110,9,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,8,0,1
1599151710119,11,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,11,0,2
1599151710131,15,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,15,0,1
1599151710146,9,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,9,0,2
1599151710156,8,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,8,0,1
1599151710165,12,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,12,0,4
1599151710178,11,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,11,0,1
1599151710190,14,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,13,0,1
1599151710204,10,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,10,0,1
1599151710215,13,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,13,0,3
1599151710229,17,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,17,0,1
1599151710247,12,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,12,0,0
1599151710260,9,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,9,0,1
1599151710269,9,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,9,0,1
1599151710280,16,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,16,0,3
1599151710297,17,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,17,0,2
1599151710314,10,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,10,0,1
1599151710325,12,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,12,0,1
1599151710339,13,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,12,0,3
1599151710353,7,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,7,0,0
1599151710361,10,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,10,0,1
1599151710371,7,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,7,0,1
1599151710379,14,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,14,0,2
1599151710394,9,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,8,0,0
1599151710403,9,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,9,0,1
1599151710414,16,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,15,0,1
1599151710430,12,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,11,0,2
1599151710443,15,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,15,0,4
1599151710459,12,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,11,0,1
1599151710471,13,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,12,0,1
1599151710486,18,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,18,0,3
1599151710509,15,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,15,0,2
1599151710525,12,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,11,0,0
1599151710537,14,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,14,0,1
1599151710554,12,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,12,0,1
1599151710567,13,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,13,0,1
1599151710581,11,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,10,0,1
1599151710592,13,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,12,0,0
1599151710606,13,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,13,0,1
1599151710620,8,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,8,0,1
1599151710629,13,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,13,0,0
1599151710643,9,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,8,0,1
1599151710652,10,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,10,0,1
1599151710663,18,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,18,0,2
1599151710682,8,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,8,0,1
1599151710692,14,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,14,0,2
1599151710706,10,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,10,0,1
1599151710717,14,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,14,0,1
1599151710732,8,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,8,0,0
1599151710740,9,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,9,0,1
1599151710750,15,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,15,0,4
1599151710765,12,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,12,0,2
1599151710778,10,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,9,0,1
1599151710788,11,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,11,0,2
1599151710799,12,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,12,0,1
1599151711015,11,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,11,0,1
1599151711027,11,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,11,0,1
1599151711039,17,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,17,0,1
1599151711056,11,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,11,0,1
1599151711068,12,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,12,0,1
1599151711081,19,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,19,0,2
1599151711101,11,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,11,0,1
1599151711113,18,query6A PostgreSQL,200,OK,Groep 1 1-1,text,true,,219,249,1,1,http://localhost:5000/graphql,17,0,1
