timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1599151822857,50,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,861,261,1,1,http://localhost:5000/graphql,39,0,22
1599151822913,123,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,123,0,0
1599151823037,10,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,9,0,2
1599151823047,14,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,14,0,2
1599151823062,11,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,10,0,2
1599151823073,21,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,21,0,2
1599151823095,17,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,17,0,1
1599151823113,12,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,12,0,3
1599151823129,30,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,30,0,15
1599151823160,12,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,12,0,0
1599151823173,19,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,19,0,3
1599151823193,33,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,33,0,2
1599151823226,33,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,33,0,2
1599151823259,19,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,19,0,2
1599151823279,33,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,33,0,18
1599151823313,13,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,13,0,1
1599151823326,20,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,20,0,2
1599151823346,20,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,20,0,1
1599151823368,12,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,12,0,1
1599151823385,13,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,13,0,3
1599151823401,11,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,10,0,1
1599151823412,14,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,14,0,1
1599151823427,17,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,17,0,1
1599151823445,11,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,10,0,0
1599151823456,18,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,18,0,2
1599151823475,19,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,19,0,1
1599151823495,17,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,16,0,1
1599151823512,15,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,15,0,1
1599151823528,11,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,10,0,1
1599151823539,16,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,15,0,1
1599151823556,15,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,15,0,4
1599151823572,14,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,13,0,2
1599151823588,14,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,14,0,2
1599151823602,14,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,13,0,1
1599151823616,18,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,18,0,3
1599151823635,11,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,11,0,0
1599151823647,12,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,12,0,1
1599151823660,11,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,11,0,1
1599151823672,13,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,13,0,1
1599151823686,19,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,19,0,1
1599151823706,14,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,14,0,2
1599151823810,11,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,11,0,1
1599151823822,8,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,8,0,1
1599151823831,18,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,18,0,1
