timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600002182584,43,query6b MongoDB,200,OK,Groep 1 1-1,text,true,,375,327,1,1,http://localhost:5000/graphql,38,0,19
1600002182631,12,query6b MongoDB,200,OK,Groep 1 1-1,text,true,,375,327,1,1,http://localhost:5000/graphql,12,0,1
1600002182644,14,query6b MongoDB,200,OK,Groep 1 1-1,text,true,,375,327,1,1,http://localhost:5000/graphql,14,0,1
1600002182660,12,query6b MongoDB,200,OK,Groep 1 1-1,text,true,,375,327,1,1,http://localhost:5000/graphql,12,0,1
1600002182673,12,query6b MongoDB,200,OK,Groep 1 1-1,text,true,,375,327,1,1,http://localhost:5000/graphql,11,0,0
1600002182685,16,query6b MongoDB,200,OK,Groep 1 1-1,text,true,,375,327,1,1,http://localhost:5000/graphql,16,0,1
1600002182702,15,query6b MongoDB,200,OK,Groep 1 1-1,text,true,,375,327,1,1,http://localhost:5000/graphql,15,0,3
1600002182718,15,query6b MongoDB,200,OK,Groep 1 1-1,text,true,,375,327,1,1,http://localhost:5000/graphql,15,0,4
1600002182733,20,query6b MongoDB,200,OK,Groep 1 1-1,text,true,,375,327,1,1,http://localhost:5000/graphql,19,0,4
1600002182753,22,query6b MongoDB,200,OK,Groep 1 1-1,text,true,,375,327,1,1,http://localhost:5000/graphql,22,0,3
1600002182776,18,query6b MongoDB,200,OK,Groep 1 1-1,text,true,,375,327,1,1,http://localhost:5000/graphql,18,0,1
1600002182796,18,query6b MongoDB,200,OK,Groep 1 1-1,text,true,,375,327,1,1,http://localhost:5000/graphql,18,0,5
1600002182815,15,query6b MongoDB,200,OK,Groep 1 1-1,text,true,,375,327,1,1,http://localhost:5000/graphql,15,0,1
1600002182831,13,query6b MongoDB,200,OK,Groep 1 1-1,text,true,,375,327,1,1,http://localhost:5000/graphql,13,0,2
1600002182845,13,query6b MongoDB,200,OK,Groep 1 1-1,text,true,,375,327,1,1,http://localhost:5000/graphql,13,0,2
