timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1599048975794,38,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,861,261,1,1,http://localhost:5000/graphql,33,0,15
1599048975836,142,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,142,0,1
1599048975979,8,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,8,0,2
1599048975991,23,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,23,0,8
1599048976015,18,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,18,0,1
1599048976034,13,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,13,0,2
1599048976048,11,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,11,0,1
1599048976065,17,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,17,0,1
1599048976083,9,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,9,0,1
1599048976093,11,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,10,0,3
1599048976105,11,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,11,0,1
1599048976117,13,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,13,0,3
1599048976131,19,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,18,0,2
1599048976150,16,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,16,0,2
1599048976167,14,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,14,0,1
1599048976182,15,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,14,0,3
1599048976198,22,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,22,0,7
1599048976221,16,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,16,0,1
1599048976238,11,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,11,0,1
1599048976250,13,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,13,0,2
1599048976264,10,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,10,0,2
1599048976275,10,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,10,0,2
1599048976285,12,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,11,0,2
1599048976297,11,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,11,0,1
1599048976310,11,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,10,0,1
1599048976322,12,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,12,0,1
1599048976334,16,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,16,0,2
1599048976351,14,query6b PostgreSQL,200,OK,Groep 1 1-1,text,true,,403,261,1,1,http://localhost:5000/graphql,14,0,3
