timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1599318432793,219,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,219,0,1
1599318433013,79,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,79,0,0
1599318433092,75,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,75,0,1
1599318433169,129,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,129,0,4
1599318433299,102,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,101,0,1
1599318433402,106,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,106,0,1
1599318433509,90,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,90,0,0
1599318433599,94,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,94,0,1
1599318433694,96,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,96,0,0
1599318433791,111,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,111,0,1
1599318433903,100,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,100,0,0
1599318434005,103,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,103,0,1
1599318434109,91,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,91,0,1
1599318434200,86,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,86,0,1
1599318434296,81,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,81,0,1
1599318434377,86,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,86,0,1
1599318434464,76,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,76,0,0
1599318434540,97,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,97,0,1
1599318434637,71,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,71,0,2
1599318434708,89,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,89,0,1
1599318434797,121,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,121,0,1
1599318434919,97,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,97,0,1
1599318435017,113,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,113,0,0
1599318435130,108,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,108,0,1
1599318435239,76,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,76,0,2
1599318435316,70,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,70,0,1
1599318435387,68,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,68,0,0
1599318435456,90,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,90,0,1
1599318435552,79,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,79,0,0
1599318435632,71,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,71,0,0
1599318435703,68,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,68,0,1
1599318435771,67,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,67,0,0
1599318435838,62,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,62,0,1
1599318435901,67,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,67,0,0
1599318435969,82,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,82,0,0
1599318436051,112,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,112,0,1
1599318436183,61,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,61,0,2
1599318436245,62,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,62,0,0
1599318436308,79,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,78,0,0
1599318436388,86,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,86,0,1
1599318436474,85,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,85,0,1
1599318436559,103,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,103,0,1
1599318436673,102,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,102,0,1
1599318436776,111,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,111,0,1
1599318436946,85,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,84,0,2
1599318437031,59,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,59,0,0
1599318437090,58,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,58,0,1
1599318437148,58,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,57,0,1
1599318437206,58,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,58,0,0
1599318437264,70,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,70,0,1
1599318437335,63,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,63,0,0
1599318437398,57,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,57,0,1
1599318437455,59,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,59,0,1
1599318437514,56,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,56,0,1
1599318437570,64,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,64,0,1
1599318437635,88,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,87,0,1
1599318437723,67,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,67,0,1
1599318437790,75,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,75,0,1
1599318437865,63,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,63,0,1
1599318437929,55,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,55,0,0
1599318437984,58,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,58,0,1
1599318438042,58,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,58,0,1
1599318438100,56,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,56,0,1
1599318438157,57,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,57,0,0
1599318438215,57,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,57,0,0
1599318438273,63,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,63,0,0
1599318438337,69,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,68,0,0
1599318438406,56,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,56,0,0
1599318438462,60,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,60,0,1
1599318438523,82,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,82,0,0
1599318438605,78,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,78,0,1
1599318438685,56,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,56,0,2
1599318438741,64,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,63,0,1
1599318438836,63,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,63,0,4
1599318438899,58,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,58,0,1
1599318438958,61,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,61,0,0
1599318439020,57,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,57,0,0
1599318439077,58,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,58,0,1
1599318439136,55,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,55,0,0
1599318439191,55,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,55,0,1
1599318439246,57,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,57,0,1
1599318439330,86,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,86,0,0
1599318439416,62,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,62,0,1
1599318439479,62,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,62,0,1
1599318439541,56,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,56,0,1
1599318439597,76,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,75,0,1
1599318439675,59,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,58,0,1
1599318439734,60,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,60,0,0
1599318439794,76,query6c 3DCityDB,200,OK,Groep 1 1-1,text,true,,3803,451,1,1,http://localhost:5000/graphql,76,0,0
