timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600181963358,63,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,861,389,1,1,http://localhost:5000/graphql,58,0,32
1600181963459,376,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,375,0,1
1600181963835,185,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,185,0,1
1600181964021,278,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,278,0,1
1600181964299,125,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,125,0,2
1600181964424,119,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,119,0,1
1600181964544,112,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,112,0,1
1600181964657,127,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,126,0,1
1600181964784,146,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,146,0,1
1600181964931,136,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,136,0,1
1600181965067,195,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,195,0,1
1600181965263,116,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,116,0,1
1600181965380,114,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,114,0,1
1600181965495,133,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,133,0,1
1600181965629,121,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,121,0,1
1600181965750,133,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,133,0,1
1600181965884,131,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,131,0,1
1600181966015,124,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,124,0,1
1600181966140,139,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,139,0,1
1600181966280,133,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,133,0,1
1600181966414,122,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,122,0,0
1600181966537,173,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,173,0,2
1600181966711,120,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,120,0,2
1600181966831,124,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,124,0,2
1600181966956,136,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,136,0,2
1600181967093,147,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,147,0,2
1600181967240,111,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,111,0,1
1600181967352,129,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,129,0,1
1600181967481,113,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,112,0,2
1600181967594,110,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,110,0,1
1600181967704,118,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,118,0,1
1600181967823,163,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,163,0,2
1600181967987,148,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,148,0,1
1600181968135,135,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,134,0,1
1600181968270,105,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,105,0,1
1600181968376,111,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,111,0,2
1600181968487,112,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,112,0,1
1600181968599,111,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,111,0,1
1600181968710,105,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,105,0,2
1600181968815,105,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,105,0,1
1600181968920,103,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,102,0,1
1600181969023,132,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,132,0,1
1600181969156,114,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,114,0,1
1600181969271,120,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,120,0,1
1600181969392,115,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,115,0,1
1600181969508,103,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,102,0,1
1600181969611,169,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,168,0,2
1600181969780,225,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,225,0,1
1600181970006,433,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,433,0,4
1600181970440,396,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,396,0,2
1600181970837,692,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,692,0,1
1600181971530,126,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,125,0,0
1600181971656,142,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,142,0,1
1600181971799,196,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,196,0,1
1600181971996,281,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,281,0,5
1600181972277,173,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,173,0,1
1600181972451,158,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,158,0,1
1600181972609,172,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,171,0,7
1600181972790,160,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,160,0,3
1600181972950,185,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,185,0,1
1600181973135,313,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,313,0,2
1600181973449,116,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,116,0,1
1600181973566,129,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,128,0,6
1600181973695,260,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,259,0,6
1600181973955,108,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,107,0,1
1600181974063,122,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,122,0,1
