timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1599318223790,62,query6c PostgreSQL,200,OK,Groep 1 1-1,text,true,,3170,388,1,1,http://localhost:5000/graphql,62,0,2
1599318223853,122,query6c PostgreSQL,200,OK,Groep 1 1-1,text,true,,3170,388,1,1,http://localhost:5000/graphql,122,0,3
1599318223975,65,query6c PostgreSQL,200,OK,Groep 1 1-1,text,true,,3170,388,1,1,http://localhost:5000/graphql,65,0,1
1599318224040,46,query6c PostgreSQL,200,OK,Groep 1 1-1,text,true,,3170,388,1,1,http://localhost:5000/graphql,46,0,1
1599318224087,70,query6c PostgreSQL,200,OK,Groep 1 1-1,text,true,,3170,388,1,1,http://localhost:5000/graphql,70,0,0
1599318224157,60,query6c PostgreSQL,200,OK,Groep 1 1-1,text,true,,3170,388,1,1,http://localhost:5000/graphql,60,0,1
1599318224218,67,query6c PostgreSQL,200,OK,Groep 1 1-1,text,true,,3170,388,1,1,http://localhost:5000/graphql,66,0,1
1599318224286,58,query6c PostgreSQL,200,OK,Groep 1 1-1,text,true,,3170,388,1,1,http://localhost:5000/graphql,58,0,1
1599318224345,68,query6c PostgreSQL,200,OK,Groep 1 1-1,text,true,,3170,388,1,1,http://localhost:5000/graphql,68,0,1
1599318224413,76,query6c PostgreSQL,200,OK,Groep 1 1-1,text,true,,3170,388,1,1,http://localhost:5000/graphql,76,0,2
1599318224489,73,query6c PostgreSQL,200,OK,Groep 1 1-1,text,true,,3170,388,1,1,http://localhost:5000/graphql,73,0,1
1599318224563,122,query6c PostgreSQL,200,OK,Groep 1 1-1,text,true,,3170,388,1,1,http://localhost:5000/graphql,121,0,1
1599318224688,73,query6c PostgreSQL,200,OK,Groep 1 1-1,text,true,,3170,388,1,1,http://localhost:5000/graphql,73,0,1
1599318224761,80,query6c PostgreSQL,200,OK,Groep 1 1-1,text,true,,3170,388,1,1,http://localhost:5000/graphql,80,0,1
1599318224841,96,query6c PostgreSQL,200,OK,Groep 1 1-1,text,true,,3170,388,1,1,http://localhost:5000/graphql,96,0,1
1599318224937,77,query6c PostgreSQL,200,OK,Groep 1 1-1,text,true,,3170,388,1,1,http://localhost:5000/graphql,77,0,1
1599318225014,54,query6c PostgreSQL,200,OK,Groep 1 1-1,text,true,,3170,388,1,1,http://localhost:5000/graphql,54,0,1
1599318225069,50,query6c PostgreSQL,200,OK,Groep 1 1-1,text,true,,3170,388,1,1,http://localhost:5000/graphql,50,0,0
