timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600380241515,50,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,934,389,1,1,http://localhost:5000/graphql,45,0,29
1600380241570,244,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,244,0,3
1600380241815,82,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,82,0,2
1600380241898,78,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,78,0,1
1600380241977,67,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,67,0,4
1600380242045,69,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,69,0,1
1600380242115,62,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,62,0,2
1600380242178,58,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,58,0,1
1600380242236,55,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,54,0,1
1600380242291,61,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,61,0,1
1600380242353,56,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,56,0,0
1600380242409,52,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,52,0,1
1600380242462,41,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,41,0,1
1600380242504,45,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,45,0,1
1600380242550,54,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,54,0,1
1600380242605,97,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,97,0,1
1600380242703,43,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,43,0,1
1600380242746,54,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,54,0,1
1600380242801,66,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,65,0,0
1600380242868,56,query6c Postgresql,200,OK,Groep 1 1-1,text,true,,3170,389,1,1,http://localhost:5000/graphql,56,0,1
