timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1599049457790,48,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,963,289,1,1,http://localhost:5000/graphql,41,0,18
1599049457878,136,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,508,289,1,1,http://localhost:5000/graphql,136,0,1
1599049458014,16,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,508,289,1,1,http://localhost:5000/graphql,16,0,1
1599049458030,14,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,508,289,1,1,http://localhost:5000/graphql,14,0,1
1599049458045,12,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,508,289,1,1,http://localhost:5000/graphql,12,0,1
1599049458059,19,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,508,289,1,1,http://localhost:5000/graphql,19,0,2
1599049458079,17,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,508,289,1,1,http://localhost:5000/graphql,17,0,1
1599049458097,17,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,508,289,1,1,http://localhost:5000/graphql,17,0,1
1599049458115,19,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,508,289,1,1,http://localhost:5000/graphql,19,0,1
1599049458135,19,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,508,289,1,1,http://localhost:5000/graphql,19,0,1
1599049458156,19,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,508,289,1,1,http://localhost:5000/graphql,18,0,3
1599049458177,13,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,508,289,1,1,http://localhost:5000/graphql,13,0,1
1599049458192,15,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,508,289,1,1,http://localhost:5000/graphql,14,0,1
1599049458208,12,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,508,289,1,1,http://localhost:5000/graphql,12,0,1
1599049458221,19,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,508,289,1,1,http://localhost:5000/graphql,19,0,4
1599049458247,16,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,508,289,1,1,http://localhost:5000/graphql,16,0,3
1599049458268,29,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,508,289,1,1,http://localhost:5000/graphql,22,0,6
1599049458298,15,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,508,289,1,1,http://localhost:5000/graphql,15,0,1
1599049458316,17,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,508,289,1,1,http://localhost:5000/graphql,16,0,0
1599049458334,28,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,508,289,1,1,http://localhost:5000/graphql,28,0,1
1599049458363,14,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,508,289,1,1,http://localhost:5000/graphql,14,0,1
1599049458377,18,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,508,289,1,1,http://localhost:5000/graphql,17,0,2
1599049458395,19,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,508,289,1,1,http://localhost:5000/graphql,19,0,4
1599049458415,18,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,508,289,1,1,http://localhost:5000/graphql,17,0,2
1599049458433,16,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,508,289,1,1,http://localhost:5000/graphql,16,0,1
1599049458450,18,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,508,289,1,1,http://localhost:5000/graphql,18,0,2
1599049458469,20,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,508,289,1,1,http://localhost:5000/graphql,19,0,1
1599049458489,20,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,508,289,1,1,http://localhost:5000/graphql,19,0,2
