timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1599152151989,67,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,963,289,1,1,http://localhost:5000/graphql,61,0,29
1599152152077,206,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,206,0,13
1599152152284,35,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,34,0,1
1599152152320,32,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,32,0,1
1599152152353,23,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,23,0,1
1599152152380,27,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,27,0,1
1599152152408,20,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,20,0,1
1599152152429,19,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,19,0,1
1599152152449,18,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,18,0,1
1599152152468,28,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,28,0,2
1599152152497,21,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,21,0,1
1599152152520,13,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,13,0,1
1599152152534,21,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,21,0,1
1599152152556,21,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,21,0,1
1599152152579,18,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,18,0,1
1599152152598,14,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,14,0,2
1599152152613,25,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,25,0,1
1599152152639,20,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,20,0,1
1599152152660,19,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,19,0,1
1599152152680,15,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,15,0,1
1599152152695,22,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,22,0,1
1599152152720,16,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,16,0,2
1599152152737,21,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,20,0,1
1599152152758,16,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,16,0,1
1599152152775,18,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,17,0,1
1599152152794,26,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,26,0,1
1599152152821,17,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,16,0,0
1599152152839,22,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,22,0,0
1599152152862,22,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,21,0,5
1599152152957,18,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,18,0,1
1599152152975,18,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,18,0,2
1599152152994,25,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,25,0,1
1599152153019,20,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,20,0,1
1599152153039,26,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,26,0,1
1599152153065,21,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,21,0,1
1599152153086,12,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,12,0,1
1599152153100,21,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,20,0,1
1599152153121,18,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,17,0,1
1599152153139,17,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,17,0,1
1599152153156,15,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,15,0,1
1599152153172,14,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,14,0,0
1599152153187,21,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,20,0,1
1599152153208,24,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,24,0,1
1599152153232,26,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,26,0,1
1599152153258,22,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,22,0,1
1599152153281,19,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,15,0,1
1599152153300,18,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,17,0,1
1599152153318,18,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,18,0,1
1599152153337,19,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,18,0,1
1599152153357,19,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,19,0,1
1599152153407,24,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,23,0,3
1599152153431,17,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,17,0,2
1599152153450,18,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,18,0,1
1599152153469,24,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,24,0,1
1599152153494,23,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,23,0,1
1599152153518,25,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,25,0,1
1599152153544,21,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,21,0,1
1599152153566,24,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,24,0,1
1599152153591,19,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,19,0,1
1599152153610,20,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,20,0,1
1599152153632,18,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,17,0,0
1599152153650,19,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,19,0,3
1599152153670,15,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,15,0,1
1599152153686,20,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,20,0,0
1599152153708,12,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,12,0,0
1599152153721,14,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,14,0,1
1599152153735,14,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,14,0,1
1599152153749,19,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,19,0,1
1599152153768,30,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,29,0,3
1599152153799,15,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,15,0,1
1599152153814,20,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,20,0,1
1599152153836,20,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,20,0,2
1599152153858,26,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,25,0,1
1599152153974,17,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,17,0,3
1599152153992,13,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,13,0,0
1599152154005,21,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,21,0,1
1599152154028,22,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,22,0,2
1599152154051,15,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,15,0,0
1599152154068,20,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,19,0,2
1599152154088,15,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,15,0,1
1599152154103,14,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,13,0,1
1599152154117,11,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,11,0,0
1599152154129,23,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,23,0,4
1599152154153,22,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,22,0,1
1599152154176,23,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,23,0,4
1599152154199,13,query7 PostgreSQL,200,OK,Groep 1 1-1,text,true,,509,289,1,1,http://localhost:5000/graphql,13,0,1
